12,5803,582,0,38,16,582,2,1963,1,1,1,8,2,1,42,6,5,4,5,4,5,2,4,5,5,6,4,6,6,5,2,4,1,4,2,2,2,NaN,1,1,NaN,3,7,4,50,0,0,30,10,30,0,0,100,0,NaN,NaN,NaN,NaN,NaN,39,4,1,24,2,1,2,NaN,1,1,NaN,3,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,6,4,6,3,7,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,11,3,530,0,0,6,2,2,5,2,6,5,2,6,3,2,6,3,3,2,NaN,1,NaN,NaN,NaN,11,3,530,5
53,17003,1708,3,29,30,1708,2,1972,1,1,22,10,2,2,33,6,6,3,4,4,7,1,6,6,2,5,3,6,5,3,2,2,1,NaN,2,3,2,2,5,5,NaN,3,7,NaN,40,40,10,30,30,30,0,50,100,0,NaN,NaN,NaN,NaN,NaN,40,4,1,4,2,NaN,NaN,NaN,1,1,NaN,3,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,6,6,4,6,3,7,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,11,4,431,2,3,7,3,3,7,6,6,6,5,7,3,2,7,3,5,3,NaN,1,NaN,NaN,NaN,11,3,220,5
58,18701,1872,4,40,NaN,1872,2,1964,1,1,1,7,2,1,41,7,7,5,6,6,7,1,7,7,4,7,5,7,7,7,2,1,2,8,2,2,2,NaN,3,3,NaN,3,NaN,4,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,30,4,2,5,2,1,2,NaN,4,4,NaN,3,4,NaN,NaN,NaN,NaN,1,2,2,2,2,2,5,5,3,2,6,NaN,1,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,4,530,4,4,7,1,1,7,1,6,1,1,7,4,1,6,1,4,3,NaN,1,NaN,NaN,NaN,11,4,530,3
84,23906,2399,2,23,NaN,2399,2,1972,1,1,1,2,2,1,33,7,7,5,5,7,7,1,7,4,3,7,1,5,3,1,2,1,9,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,2,2,2,4,30,1,2,4,2,1,2,3,2,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,1,2,3,2,3,2,7,5,5,4,4,7,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,3,230,2,2,7,4,1,7,7,7,1,1,7,3,1,7,3,5,4,NaN,NaN,NaN,100,NaN,8,3,10,4
86,24204,2429,2,54,25,2429,2,1970,1,1,1,1,2,1,35,5,7,4,6,4,6,3,6,5,4,5,4,5,6,5,2,1,2,1,2,3,2,2,1,1,NaN,3,NaN,NaN,0,0,0,0,0,0,0,0,0,100,NaN,NaN,NaN,NaN,NaN,30,1,2,4,2,1,2,NaN,1,1,NaN,3,2,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,7,7,4,5,4,8,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,3,521,2,2,6,2,2,5,3,4,5,1,6,4,2,6,5,6,2,NaN,1,NaN,NaN,NaN,11,3,220,6
103,29402,2941,2,32,NaN,2941,2,1963,1,1,1,11,2,1,42,7,7,2,6,4,6,1,5,5,5,7,4,6,6,5,2,1,9,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,4,2,2,2,36,1,2,5,2,1,2,NaN,5,5,NaN,3,4,NaN,NaN,NaN,NaN,1,2,2,3,3,2,7,7,1,6,4,7,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,3,530,2,2,7,4,2,7,2,7,6,2,7,6,4,7,6,6,6,NaN,NaN,NaN,NaN,NaN,6,3,12,5
145,47605,4766,1,NaN,NaN,4766,2,1967,1,1,1,NaN,2,1,38,7,6,2,6,5,6,1,7,5,4,7,2,6,5,3,2,4,2,9,1,2,2,NaN,1,1,19,3,1,3,30,0,20,100,0,0,0,0,60,0,NaN,NaN,NaN,NaN,NaN,16,5,2,10,2,1,2,2,5,1,NaN,3,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,7,6,3,4,3,7,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,3,220,1,1,7,2,2,6,3,1,4,2,7,2,1,7,5,4,4,NaN,NaN,1500,NaN,NaN,11,3,522,4
164,53904,5398,0,19,NaN,5398,2,1976,1,1,1,3,2,1,29,6,6,6,5,5,5,6,6,4,2,6,4,5,5,6,2,3,1,NaN,2,2,2,NaN,1,1,1,3,NaN,NaN,80,20,20,80,20,80,0,10,80,10,NaN,NaN,NaN,NaN,NaN,41,3,1,NaN,2,1,2,NaN,5,5,NaN,3,4,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,6,7,6,6,4,8,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,2,530,0,0,6,6,5,7,5,5,2,4,5,5,4,6,6,5,5,NaN,1,NaN,NaN,NaN,11,2,431,7
178,57204,5720,2,34,NaN,5720,2,1967,1,1,1,6,2,1,38,7,5,2,4,6,2,1,4,4,4,6,6,6,6,7,2,1,2,14,2,2,2,NaN,3,3,NaN,3,NaN,4,80,20,0,0,20,70,0,30,40,0,NaN,NaN,NaN,NaN,NaN,29,1,2,11,2,1,2,NaN,3,3,NaN,3,3,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,7,7,1,6,7,20,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,5,522,2,2,5,4,1,6,6,4,5,2,6,4,4,4,6,4,5,NaN,1,NaN,NaN,NaN,11,5,530,3
211,67103,6718,2,19,43,6718,2,1969,1,1,1,11,2,1,36,7,6,6,5,5,6,1,7,5,3,7,1,5,5,4,2,1,4,1,2,3,2,NaN,4,NaN,NaN,2,NaN,NaN,0,0,0,50,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,7.5,1,4,15,2,1,2,NaN,1,1,NaN,3,4,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,7,7,6,4,4,9,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,3,530,2,2,7,4,4,4,3,4,6,1,6,2,2,7,5,5,6,NaN,1,NaN,NaN,NaN,11,3,10,5
