"","persnr","vp12501","vp12502","vp12503","vp12504","vp12505","vp12506","vp12507","vp12508","vp12509","vp12510","vp12511","vp12512","vp12513","vp12514","vp12515","vp12601","vp12602","vp12603","vp12604","vp12605","vp12606","vp12707","vp12704","vp12702","vp12701","vp12703","vp12710","vp12706","vp12708","vp12709","vp12705","vp13602","vp13601","vp148","vp10","vp5001","vp07","vp41","vp40","vp4301","vp5501","vp5502","vp9501","vp06","vp38","vp4304","vp2302","vp2303","vp2304","vp2305","vp2306","vp2307","vp2308","vp2309","vp2310","vp2311","vp13","vp11","vp17","vp14","vp12","vp100a03","vp100b03","vp100c03","vp100a01","vp100h03","vp100k03","vp100l03","vp8001","vp67"
"19671",8056801,7,6,2,5,2,6,1,6,6,4,7,5,6,5,6,7,3,2,7,2,7,2,5,1,5,4,1,7,6,6,2,-2,2,1,9,-2,2,-2,-2,-2,-2,-2,44,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,5700,-2,-2,1,-2,-2,-2,1,-2
"19672",8056802,7,7,1,6,5,7,1,7,7,5,7,5,7,6,5,7,1,1,7,1,5,4,5,1,5,6,1,7,4,5,2,-2,2,1,9,-2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2
"19673",8056901,5,5,2,4,3,7,5,4,6,1,6,6,6,5,5,7,5,1,7,1,7,2,3,1,6,4,2,5,3,3,1,-2,2,1,1,28,2,2,2,-2,1,1,-2,3,-2,5,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,5500,-2,-2,1,-2,-2,-2,-2,2
"19674",8056902,6,7,1,4,4,7,1,7,6,4,6,5,6,3,5,7,5,1,7,1,7,1,4,1,7,7,1,3,2,3,1,-2,2,1,2,26,2,2,2,3,4,4,-2,3,-2,-2,80,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,1800,-2,-2,1,-2,-2,-2,-2,2
"19675",8057101,7,6,2,7,3,6,1,7,7,2,7,4,6,5,6,7,1,1,5,1,7,1,5,1,5,3,1,7,3,7,1,-2,2,1,9,-2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2
"19676",8057102,7,7,1,7,5,7,1,7,7,5,7,6,7,6,4,7,1,1,7,1,4,2,4,1,5,2,1,7,3,6,2,-2,2,1,9,-2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
"19677",8057403,5,7,6,6,3,6,5,6,3,5,6,2,6,6,5,6,3,4,5,3,6,3,5,2,6,3,3,6,6,5,3,-2,2,3,9,-2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,4,2,2,3,-2,-2,-1,-2,-2,-2,-2,-2,-2
"19678",8057901,6,7,2,5,4,6,1,6,3,3,6,5,6,5,3,6,2,2,7,1,6,2,3,2,5,2,1,6,5,4,2,-2,2,5,1,63,2,2,2,-2,5,5,-2,3,-2,-2,0,0,0,0,0,0,0,0,30,0,-2,-2,-2,-2,-2,4455,-2,447,1,-2,-2,-2,-2,1
"19679",8059101,7,6,1,7,7,6,1,6,5,3,6,4,7,4,5,7,1,1,7,1,7,4,4,5,7,4,4,7,5,7,6,-2,2,4,9,-2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2
"19680",8059102,6,6,2,4,6,6,2,6,4,4,6,2,6,6,5,6,2,3,6,4,4,6,4,4,6,4,2,6,5,5,5,-2,2,4,1,11,2,2,2,-2,3,1,-2,3,-2,2,20,40,0,0,0,20,20,50,20,40,-2,-2,-2,-2,-2,2000,-2,-2,1,-2,-2,-2,-2,1
"19681",8059201,7,7,1,6,5,6,1,6,6,2,6,4,7,7,4,7,3,2,7,1,7,6,2,1,7,3,1,7,1,4,5,-2,2,1,2,25,2,2,2,-2,3,3,-2,3,-2,5,0,50,0,0,0,0,0,100,100,100,-2,-2,-2,-2,-2,2400,-2,-2,1,-2,-2,-2,-2,1
"19682",8059202,5,6,3,6,7,6,3,6,2,4,4,3,6,6,4,6,4,4,6,4,6,4,2,2,7,2,3,7,5,6,5,-2,2,1,1,18,2,2,2,-2,5,5,-2,3,-2,-2,10,0,0,0,0,0,0,0,20,40,-2,-2,-2,-2,-2,-2,-3,500,-2,-2,-2,-2,-2,3
"19683",8059401,6,6,2,7,3,6,4,6,7,3,6,2,6,6,5,6,3,1,6,1,6,7,7,1,6,4,3,5,6,5,3,-2,2,2,9,-2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2
"19684",8059601,6,6,4,5,6,6,1,2,2,4,7,5,5,5,5,7,4,3,7,3,3,3,4,4,2,3,2,6,6,5,3,-2,2,5,1,-2,2,2,2,-2,5,1,-2,3,-2,5,20,0,0,0,0,0,0,0,50,0,-2,-2,-2,-2,-2,8500,-2,-2,1,-2,-2,-2,-2,1
"19685",8059602,5,6,4,5,5,6,2,4,6,1,6,4,5,6,6,6,3,1,5,1,3,2,3,2,7,6,1,7,6,6,4,-2,2,4,9,-2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2
"19686",8060101,5,7,7,5,7,4,1,2,1,7,2,7,4,1,1,7,3,1,7,2,1,4,1,7,7,1,1,7,7,3,3,-2,2,1,9,-2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2
"19687",8060102,7,7,2,6,5,7,1,6,-1,1,7,1,7,7,5,7,1,1,5,1,6,2,2,2,5,4,1,7,5,6,6,-2,2,1,1,91,2,2,2,-2,5,1,-2,3,-2,5,0,10,0,0,0,0,0,0,100,0,-2,-2,-2,-2,-2,5100,-2,-2,1,-2,-2,-2,-2,1
"19688",8060201,6,5,5,6,6,7,1,4,4,2,5,4,4,3,4,7,3,1,6,1,6,2,2,4,5,3,3,6,5,4,5,-2,2,1,1,10,2,3,2,-2,2,3,-2,3,-2,-2,0,0,0,0,0,0,0,0,10,0,-2,-2,-2,-2,-2,-2,6500,-2,-2,-2,-2,-2,-2,3
"19689",8060202,7,7,2,5,5,5,3,7,4,3,5,2,6,5,3,7,2,2,6,3,5,3,1,2,6,4,4,7,3,4,3,-2,2,1,9,-2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,3,2,-1,3,-2,-2,-2,-2,-2,-2,-2,-2,-2
"19690",8060203,5,7,3,4,1,7,2,7,1,1,6,2,6,3,6,7,2,3,5,4,6,2,3,2,6,3,2,7,5,6,3,-2,2,3,2,4,2,3,2,1,1,1,-2,3,4,-2,0,0,0,0,50,0,0,0,40,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2
"19691",8060204,6,7,3,5,5,6,6,7,4,7,5,2,7,3,1,7,2,1,6,3,3,7,4,1,5,3,1,7,2,3,4,-2,2,3,9,-2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,4,2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2
"19692",8060401,2,5,5,5,1,7,5,4,7,1,4,4,5,5,1,2,1,1,1,1,2,1,7,1,5,2,2,4,4,2,4,-2,2,1,1,28,2,2,2,-2,4,5,-2,3,-2,-2,0,0,0,0,20,0,20,10,30,100,-2,-2,-2,-2,-2,-2,6000,-2,-2,-2,-2,-2,-2,3
"19693",8060402,5,6,3,4,1,7,2,6,5,2,6,3,6,4,6,7,1,1,4,2,5,2,4,2,6,2,2,6,2,6,2,-2,2,1,2,25,2,2,2,-2,5,1,-2,3,-2,4,10,10,30,10,0,0,0,0,50,50,-2,-2,-2,-2,-2,1150,-2,-2,1,-2,-2,-2,-2,1
"19694",8060501,7,7,5,7,6,4,3,7,7,2,7,1,7,7,7,7,7,7,7,5,7,1,7,1,7,1,1,7,6,6,1,-2,2,1,5,-2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4458,-2,-2,1,-2,-2,-2,-2,-2
"19695",8060502,7,5,1,7,5,4,1,5,7,5,7,6,7,7,4,7,5,5,7,4,7,6,6,1,6,4,4,7,6,7,6,-2,2,1,9,-2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
"19696",8060901,7,7,5,7,1,7,1,7,7,1,7,4,7,7,7,7,5,1,7,5,7,4,7,1,7,1,1,7,6,7,1,-2,2,4,1,4,2,2,2,-2,1,1,-2,3,-2,6,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,6500,-2,-2,1,-2,-2,-2,-2,1
"19697",8060902,7,7,1,7,4,7,1,7,7,5,7,4,7,4,4,7,1,4,7,7,7,4,1,1,7,1,1,7,6,7,1,-2,2,3,1,1,2,2,2,-2,3,1,-2,3,-2,4,10,0,0,10,0,0,0,0,80,10,-2,-2,-2,-2,-2,2550,-2,-2,1,-2,-2,-2,-2,2
"19698",8061001,4,7,1,7,7,1,4,7,1,7,4,1,7,2,2,7,7,7,7,7,4,1,4,7,7,7,1,7,7,4,5,-2,2,1,1,20,2,3,2,-2,2,2,-2,3,-2,-2,0,0,0,0,0,0,0,0,60,80,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,3
"19699",8061002,7,7,1,7,7,7,1,7,7,1,7,4,7,7,7,7,1,1,7,5,7,1,5,1,7,1,1,7,7,7,1,-2,2,1,1,20,2,3,2,-2,2,1,-2,3,-2,-2,0,0,0,0,0,0,0,80,0,0,-2,-2,-2,-2,-2,-2,500,-2,-2,-2,-1,-2,-2,3
"19700",8061401,7,7,1,7,1,7,4,7,4,1,7,4,7,7,7,7,4,1,7,1,7,1,5,1,7,1,1,7,1,7,1,-2,2,1,9,-2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2
"19701",8061402,7,7,1,7,1,7,4,7,7,7,5,7,7,1,7,5,6,1,4,1,5,1,6,1,5,1,1,7,1,6,1,-2,2,1,9,-2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
"19702",8061404,7,7,1,7,1,7,4,7,7,4,7,1,7,7,7,7,7,1,7,7,5,5,1,1,7,7,1,7,7,1,1,-2,2,4,1,20,2,2,2,-2,1,1,-2,3,-2,4,0,0,0,0,0,0,0,0,80,0,-2,-2,-2,-2,-2,2500,-2,-2,1,-2,-2,-2,-2,1
"19703",8061501,7,7,1,7,1,7,1,7,7,1,7,4,7,7,7,7,1,1,7,3,7,1,5,1,7,1,1,7,5,3,1,-2,2,4,2,5,2,2,2,-2,1,1,-2,3,-2,5,0,0,0,0,0,0,0,0,80,70,-2,-2,-2,-2,-2,1520,-2,-2,1,-2,-2,-2,-2,2
"19704",8061502,7,3,1,4,1,7,1,7,7,1,7,7,7,4,7,7,1,1,7,1,7,1,4,1,7,4,1,7,7,7,1,-2,2,3,1,-2,2,2,2,-2,1,1,-2,3,-2,6,0,0,80,80,0,0,0,0,100,100,-2,-2,-2,-2,-2,6900,-2,-2,1,-2,-2,-2,-2,2
"19705",8062401,6,6,2,5,2,2,1,4,2,4,6,4,4,2,4,7,4,3,7,3,5,4,7,1,7,2,1,6,5,4,3,-2,2,4,1,1,2,2,1,-2,5,-1,-2,3,-2,-2,0,0,0,0,0,0,100,0,100,0,-2,-2,-2,-2,-2,3920,-2,-2,1,-2,-2,-2,-2,2
"19706",8062801,6,4,4,4,5,5,2,2,2,2,3,6,4,3,2,6,6,6,6,5,5,4,2,2,6,4,3,6,6,5,6,-2,2,1,1,8,2,2,2,-2,2,2,-2,3,-2,-2,0,0,0,0,0,0,0,100,100,0,-2,-2,-2,-2,-2,8000,-2,1200,1,-2,-2,-2,-2,1
"19707",8062802,5,4,2,6,6,3,2,2,7,2,7,6,6,6,6,7,4,4,7,3,5,4,3,4,4,2,5,4,4,5,2,-2,2,1,9,-2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
"19708",8062803,7,4,2,6,4,7,3,5,7,4,6,6,6,6,2,6,5,5,6,2,6,5,4,1,5,4,3,4,6,4,3,-2,2,3,9,-2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,2,2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2
"19709",8062804,4,3,4,6,2,6,6,5,4,2,6,5,6,6,6,6,4,4,5,4,5,3,3,4,7,1,1,5,2,4,4,-2,2,3,9,-2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,2,2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2
"19710",8062805,4,3,4,4,3,5,6,5,3,5,6,2,3,3,3,4,7,6,4,5,2,3,3,4,7,2,2,5,2,4,5,-2,2,3,9,-2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,2,2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2
"19711",8063101,1,4,2,4,2,2,1,4,2,2,5,4,4,3,5,5,4,3,4,3,3,3,4,2,7,4,2,7,4,4,3,-2,2,1,1,-2,2,3,2,-2,5,5,-2,3,-2,-2,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,6000,-2,-2,-2,-2,-2,-2,3
"19712",8063102,7,4,3,5,5,2,1,4,5,4,6,3,5,5,3,7,3,5,5,5,5,4,2,3,6,3,3,6,5,6,3,-2,2,1,5,-2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,1,-2
"19713",8063601,5,5,5,5,4,5,2,6,5,3,5,5,6,5,5,6,3,2,6,2,5,3,3,3,4,3,3,6,4,5,3,-2,2,1,2,-2,2,3,2,-2,1,1,-2,3,-2,-2,0,0,0,0,0,0,0,0,30,0,-2,-2,-2,-2,-2,-2,3900,-2,-2,-2,-2,-2,1,3
"19714",8063602,7,6,1,6,6,7,5,5,5,5,6,6,6,5,5,7,2,2,7,3,5,5,5,6,6,5,5,6,5,6,6,-2,2,1,1,1,2,3,2,-2,1,1,-2,3,-2,-2,0,0,0,0,0,0,0,0,40,0,-2,-2,-2,-2,-2,-2,3800,-2,-2,-2,-2,-2,-2,3
"19715",8063801,7,6,4,6,4,5,2,5,4,4,7,2,5,6,5,6,4,3,6,4,5,3,5,5,4,4,5,5,4,6,3,-2,2,1,1,8,2,2,2,-2,5,1,-2,3,-2,5,0,20,60,0,0,0,0,0,20,30,-2,-2,-2,-2,-2,2450,-2,-2,1,-2,-2,-2,-2,1
"19716",8063802,7,5,5,6,7,5,1,5,5,6,7,7,5,5,2,7,4,1,7,4,6,1,1,5,7,5,4,7,5,3,7,-2,2,1,1,11,2,2,2,-2,1,1,-2,3,-1,4,50,0,0,0,0,20,0,0,50,0,-2,-2,-2,-2,-2,2600,-2,1000,1,-2,-2,-2,-2,1
"19717",8063901,7,7,6,6,7,6,1,5,6,6,7,4,7,7,4,7,3,1,7,1,7,3,3,2,5,1,3,7,4,5,4,-2,2,1,1,11,2,2,2,-2,2,2,-2,3,-2,-2,0,0,0,0,0,0,0,0,50,0,-2,-2,-2,-2,-2,4500,-2,-2,1,-2,-2,-2,-2,1
"19718",8063902,7,5,4,5,6,7,4,6,3,2,7,3,4,3,4,7,4,4,7,2,6,2,5,5,6,2,3,7,4,6,1,-2,2,1,1,11,2,2,2,-2,2,2,-2,3,-2,-2,0,0,0,0,0,0,0,0,100,0,-2,-2,-2,-2,-2,4900,-2,-2,1,-2,-2,-2,-2,1
"19719",8063903,7,7,5,6,7,5,1,5,4,5,6,2,5,4,5,7,1,1,7,2,6,2,4,1,5,4,2,7,6,3,5,-2,2,3,9,-2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,4,1,1,1,-2,-2,350,-2,-2,-2,-2,-2,-2
"19720",8064201,6,7,2,4,3,7,4,6,6,4,5,2,6,6,4,7,1,1,7,1,6,2,1,1,7,1,2,5,6,2,2,-2,2,1,2,15,2,2,2,-2,1,2,-2,3,7,-2,0,20,0,0,0,0,0,0,70,0,-2,-2,-2,-2,-2,3100,-2,-2,1,-2,-2,-2,-2,1
